+----------+------------------------------------------------------+---------------------------------------+---------------------------------------+---------------------------------+----------------------------------+--------------------------------------------------+---------------------------------+-----------------------------------+-----------------------------+
| Έτος     | Τμήμα                                                | Κωδικός ΚΕΝ / Σύνολο                  | Ασφαλιστικός Φορέας                   | Πλήθος Νοσηλειών                | Βασικό Κόστος ΚΕΝ                | Πρόσθετη Χρέωση (Υπέρβαση)                       | Κόστος Εξετάσεων                | Κόστος Επεμβάσεων                 | Συνολικά Έσοδα              |
+----------+------------------------------------------------------+---------------------------------------+---------------------------------------+---------------------------------+----------------------------------+--------------------------------------------------+---------------------------------+-----------------------------------+-----------------------------+
|     2025 | Δερματολογικό Τμήμα                                  | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               3 |                            28853 |                                              300 |                             245 |                             28853 |                       29398 |
|     2025 | Δερματολογικό Τμήμα                                  | 111                                   | Ιδιωτική                              |                               1 |                              526 |                                              300 |                             150 |                               526 |                         976 |
|     2025 | Δερματολογικό Τμήμα                                  | 22                                    | ΕΦΚΑ                                  |                               1 |                             7730 |                                                0 |                              55 |                              7730 |                        7785 |
|     2025 | Δερματολογικό Τμήμα                                  | 6                                     | ΕΟΠΥΥ                                 |                               1 |                            20597 |                                                0 |                              40 |                             20597 |                       20637 |
|     2025 | Καρδιολογική Κλινική                                 | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               5 |                            17054 |                                              400 |                             995 |                             17054 |                       18449 |
|     2025 | Καρδιολογική Κλινική                                 | 102                                   | ΕΟΠΥΥ                                 |                               1 |                             5420 |                                                0 |                             400 |                              5420 |                        5820 |
|     2025 | Καρδιολογική Κλινική                                 | 123                                   | ΕΟΠΥΥ                                 |                               1 |                              265 |                                              400 |                              60 |                               265 |                         725 |
|     2025 | Καρδιολογική Κλινική                                 | 44                                    | ΕΦΚΑ                                  |                               1 |                             2389 |                                                0 |                              95 |                              2389 |                        2484 |
|     2025 | Καρδιολογική Κλινική                                 | 62                                    | ΕΟΠΥΥ                                 |                               1 |                             3175 |                                                0 |                              40 |                              3175 |                        3215 |
|     2025 | Καρδιολογική Κλινική                                 | 78                                    | ΕΦΚΑ                                  |                               1 |                             5805 |                                                0 |                             400 |                              5805 |                        6205 |
|     2025 | Μαιευτική και Γυναικολογική                          | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               4 |                            13081 |                                              300 |                             145 |                             13081 |                       13526 |
|     2025 | Μαιευτική και Γυναικολογική                          | 11                                    | Ιδιωτική                              |                               1 |                             3683 |                                                0 |                              35 |                              3683 |                        3718 |
|     2025 | Μαιευτική και Γυναικολογική                          | 23                                    | ΕΦΚΑ                                  |                               1 |                             4721 |                                                0 |                              35 |                              4721 |                        4756 |
|     2025 | Μαιευτική και Γυναικολογική                          | 26                                    | ΕΦΚΑ                                  |                               1 |                             3990 |                                                0 |                              60 |                              3990 |                        4050 |
|     2025 | Μαιευτική και Γυναικολογική                          | 92                                    | ΕΟΠΥΥ                                 |                               1 |                              687 |                                              300 |                              15 |                               687 |                        1002 |
|     2025 | Μονάδα Εντατικής Θεραπείας                           | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               1 |                              272 |                                                0 |                             150 |                               272 |                         422 |
|     2025 | Μονάδα Εντατικής Θεραπείας                           | 75                                    | ΕΟΠΥΥ                                 |                               1 |                              272 |                                                0 |                             150 |                               272 |                         422 |
|     2025 | Νευρολογικό Τμήμα                                    | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               4 |                            28260 |                                             1100 |                            1000 |                             28260 |                       30360 |
|     2025 | Νευρολογικό Τμήμα                                    | 101                                   | ΕΦΚΑ                                  |                               1 |                            24000 |                                              400 |                             250 |                             24000 |                       24650 |
