+------------------------------------------------------------------------------------------------------+----------------------------------------------------+------------------------------------------------------------------+
| Δραστική Ουσία                                                                                       | Αριθμός Αλλεργικών Ασθενών                         | Αριθμός Φαρμάκων που την περιέχουν                               |
+------------------------------------------------------------------------------------------------------+----------------------------------------------------+------------------------------------------------------------------+
| Liquid Paraffin                                                                                      |                                                  2 |                                                               76 |
| Acarus Siro                                                                                          |                                                  1 |                                                               29 |
| Aconitum Napellus Dil. D5                                                                            |                                                  1 |                                                                5 |
| Alchemilla Alpina                                                                                    |                                                  1 |                                                                1 |
| Ampicillin                                                                                           |                                                  1 |                                                              110 |
| Anhydrous Cefadroxil                                                                                 |                                                  1 |                                                                2 |
| Anthrax Antigens (Alum Precipitated Sterile Filtrate)                                                |                                                  1 |                                                                1 |
| Apis Mellifica Ex Animale Toto Gl Dil. D4 (Hab                                                       |                                                  1 |                                                               12 |
| Apis Mellifica Ex Animale Toto Gl Dil. D6 (Hab                                                       |                                                  1 |                                                                1 |
| Atenolol                                                                                             |                                                  1 |                                                              198 |
| Atropa Bella-Donna Dil. D10                                                                          |                                                  1 |                                                                5 |
| Benzylpenicillin Procaine                                                                            |                                                  1 |                                                                4 |
| Bis(L-Histidinato)zink 2 H2o                                                                         |                                                  1 |                                                                1 |
| Cerebellum Bovis Gl Dil. D8 (Hab                                                                     |                                                  1 |                                                                4 |
| Chloramphenicol Sodium Succinate                                                                     |                                                  1 |                                                                7 |
| Cilostazol                                                                                           |                                                  1 |                                                               54 |
| Cimicifuga Rhizome Dry Extract                                                                       |                                                  1 |                                                                4 |
| Citric Acid Monohydrate Ph. Eur                                                                      |                                                  1 |                                                                2 |
| Clindamycin Hydrochloride Monohydrate                                                                |                                                  1 |                                                                2 |
| Clotiapine                                                                                           |                                                  1 |                                                                5 |
| Cloxazolam                                                                                           |                                                  1 |                                                                2 |
| Colecalciferol Concentrate (Oily Form)                                                               |                                                  1 |                                                                8 |
| Convallaria Majalis E Planta Tota Ferm 33c Dil. D2 (Hab                                              |                                                  1 |                                                                3 |
| Coxsackie Virus A9 Nosode D15                                                                        |                                                  1 |                                                                1 |
| Diazepam                                                                                             |                                                  1 |                                                              220 |
| Dry Extract From Nettle Leaf                                                                         |                                                  1 |                                                                3 |
| Dryopteris Filix-Mas                                                                                 |                                                  1 |                                                                3 |
| Egg White Extract                                                                                    |                                                  1 |                                                                2 |
| Erythrosine                                                                                          |                                                  1 |                                                                1 |
| Extract From Saw Palmetto Fruit Der (8                                                               |                                                  1 |                                                                4 |
| Flupentixol Decanoate                                                                                |                                                  1 |                                                               29 |
| Fosinopril                                                                                           |                                                  1 |                                                                1 |
| Fumaria Officinalis Dil. D6                                                                          |                                                  1 |                                                                1 |
| Ginkgo Dry Extract (35-67:1)                                                                         |                                                  1 |                                                                1 |
| Glycosaminoglycan Polysulfate                                                                        |                                                  1 |                                                                2 |
| Haemophilus Influenzae Type B (Hib)                                                                  |                                                  1 |                                                                8 |
| Hexylresorcinol Bp                                                                                   |                                                  1 |                                                                9 |
| Hypericum Perforatum Mother Tincture                                                                 |                                                  1 |                                                                3 |
| Hypophysis Bovis Gl Dil. D5 (Hab                                                                     |                                                  1 |                                                                2 |
| Insulin Human Isophane                                                                               |                                                  1 |                                                                1 |
| Lanreotide Acetate                                                                                   |                                                  1 |                                                               14 |
| Ledum                                                                                                |                                                  1 |                                                                1 |
| Macrogol 400                                                                                         |                                                  1 |                                                                1 |
| Medulla Spinalis Suis D12                                                                            |                                                  1 |                                                                1 |
| Meningococcal Group Y Oligosaccharide Conjugated To Corynebacterium Diphtheriae Crm197 Protein       |                                                  1 |                                                                4 |
| Methyldopa                                                                                           |                                                  1 |                                                               28 |
| Methyldopa Bp                                                                                        |                                                  1 |                                                                6 |
| Nonacog Beta Pegol                                                                                   |                                                  1 |                                                                3 |
| Oxybutynin Hydrochloride                                                                             |                                                  1 |                                                              103 |
| Parathyroid Hormone                                                                                  |                                                  1 |                                                                4 |
| Pentamidine Isetionate                                                                               |                                                  1 |                                                               18 |
| Perindopril                                                                                          |                                                  1 |                                                               27 |
| Pisum Sativum                                                                                        |                                                  1 |                                                                7 |
| Prednisolone                                                                                         |                                                  1 |                                                              153 |
| Pressed Juice From Fresh Stinging Nettle Herb (1 : 0.55 ? 0.82)                                      |                                                  1 |                                                                0 |
| Pseudoephedrine Hydrochloride Bp                                                                     |                                                  1 |                                                                4 |
| Pyrit Trit. D2                                                                                       |                                                  1 |                                                                4 |
| Ropivacaine Hydrochloride Monohydrate                                                                |                                                  1 |                                                               27 |
| Sitagliptin Hydrochloride                                                                            |                                                  1 |                                                               52 |
| Soya Oil                                                                                             |                                                  1 |                                                               69 |
| Tincture From Hawthorn Berries (1:10): Extraction Solvent: Ethanol 70% (V/V)                         |                                                  1 |                                                                3 |
| Turnera Diffusa D2                                                                                   |                                                  1 |                                                                1 |
| Vernakalant Hydrochloride                                                                            |                                                  1 |                                                                4 |
| Viscum Album Aceris Ex Herba Recente Col. D20                                                        |                                                  1 |                                                                1 |
| (3s                                                                                                  |                                                  0 |                                                               11 |
| (R)-Alpha-Glycerophosphorylethanolamine Monohydrate                                                  |                                                  0 |                                                                1 |
| (S)-Lactic Acid                                                                                      |                                                  0 |                                                                2 |
| 1                                                                                                    |                                                  0 |                                                               27 |
| 1-Naphthaleneacetic Acid                                                                             |                                                  0 |                                                                1 |
| 1-Propanol                                                                                           |                                                  0 |                                                               47 |
| 100 Ml Consists Of: Distillate From A Macerate Of Melissa Officinalis Leaf 429-536 Mg                |                                                  0 |                                                                2 |
| 12 Grass Pollen Mixture                                                                              |                                                  0 |                                                                2 |
| 13 Grass Pollen Mixture                                                                              |                                                  0 |                                                                2 |
| 131i-Meta-Iodobenzyl-Guanidine Sulfate                                                               |                                                  0 |                                                                2 |
| 13c-Urea                                                                                             |                                                  0 |                                                               35 |
| 2                                                                                                    |                                                  0 |                                                              406 |
| 2-(2-Aminoethoxy)ethanol                                                                             |                                                  0 |                                                                1 |
| 2-Hydroxyethyl Methacrylate                                                                          |                                                  0 |                                                                1 |
| 2-Naphthol                                                                                           |                                                  0 |                                                                2 |
| 2-Propanol (Ph. Eur.)                                                                                |                                                  0 |                                                               26 |
| 2-Propanol (Ph.Eur.) 70% (V/V)                                                                       |                                                  0 |                                                                1 |
| 2.1% Sodium Chloride-Water (Brine) Sulfide                                                           |                                                  0 |                                                                2 |
| 3                                                                                                    |                                                  0 |                                                               19 |
| 3-Aminophenol                                                                                        |                                                  0 |                                                                1 |
| 3-Hydroxy-2-Naphthanilide                                                                            |                                                  0 |                                                                1 |
| 3-Iodo-2-Propynylbutylcarbamate                                                                      |                                                  0 |                                                                1 |
| 4                                                                                                    |                                                  0 |                                                               14 |
| 4-(4-Hydroxy-4-Methylpentyl)cyclohex-3-Ene-1-Carbaldehyde                                            |                                                  0 |                                                                2 |
| 4-Amino-3-Phenylbutyric Acid                                                                         |                                                  0 |                                                                2 |
| 4-Aminophenol                                                                                        |                                                  0 |                                                                1 |
| 4-Dimethylaminophenol Hydrochloride                                                                  |                                                  0 |                                                                1 |
| 4-Tert-Butylcatechol                                                                                 |                                                  0 |                                                                1 |
| 4-Tert-Butylphenol                                                                                   |                                                  0 |                                                                1 |
| 4-Toluenesulfonamide-Formaldehyde Resin                                                              |                                                  0 |                                                                1 |
| 5'-Capped Mrna Encoding Sars-Cov-2                                                                   |                                                  0 |                                                                4 |
| 5-Aminolevulinic Acid                                                                                |                                                  0 |                                                               20 |
| 5-Methyltetrahydrofolate Di Calcium Pentahydrate                                                     |                                                  0 |                                                                2 |
| 7-Ethylbicyclooxazolidine                                                                            |                                                  0 |                                                                1 |
| ?lauszug Aus Hypericum Perforatum                                                                    |                                                  0 |                                                                0 |
| ?liger Auszug Aus Arnikabl?ten (1:3                                                                  |                                                  0 |                                                                0 |
| A-Amyl Cinnamaldehyde                                                                                |                                                  0 |                                                               15 |
| A/California/7/2009 (H1n1) V Reass. X - 179 A                                                        |                                                  0 |                                                                1 |
| A/California/7/2009(H1n1)-Like Strain (Nymc X-179a)                                                  |                                                  0 |                                                                3 |
| A/Turkey/Turkey/1/05 (H5n1)-Like Strain (Nibrg-23)                                                   |                                                  0 |                                                                8 |
| A/Vietnam/1203/2004 (H5n1) Strain (A/Vietnam/1203/2004                                               |                                                  0 |                                                                4 |
| Abacavir                                                                                             |                                                  0 |                                                              132 |
| Abacavir Sulfate                                                                                     |                                                  0 |                                                                9 |
| Abaloparatide                                                                                        |                                                  0 |                                                                4 |
| Abatacept                                                                                            |                                                  0 |                                                                8 |
| Abemaciclib                                                                                          |                                                  0 |                                                                5 |
| Abietic Acid                                                                                         |                                                  0 |                                                                1 |
| Abiraterone                                                                                          |                                                  0 |                                                                9 |
| Abiraterone Acetate                                                                                  |                                                  0 |                                                              346 |
| Abrocitinib                                                                                          |                                                  0 |                                                                4 |
| Absinthii Herba                                                                                      |                                                  0 |                                                                5 |
| Absinthium Tincture                                                                                  |                                                  0 |                                                                2 |
| Acacia Dealbata Link.                                                                                |                                                  0 |                                                               23 |
| Acacia Pollen                                                                                        |                                                  0 |                                                                1 |
| Acalabrutinib                                                                                        |                                                  0 |                                                                4 |
| Acamprosate                                                                                          |                                                  0 |                                                                6 |
| Acamprosate Calcium                                                                                  |                                                  0 |                                                               16 |
| Acarbose                                                                                             |                                                  0 |                                                               42 |
| Acarus Siro Extract                                                                                  |                                                  0 |                                                                2 |
| Acebutolol                                                                                           |                                                  0 |                                                                8 |
| Acebutolol Hydrochloride                                                                             |                                                  0 |                                                               15 |
| Aceclofenac                                                                                          |                                                  0 |                                                               79 |
| Acemetacin                                                                                           |                                                  0 |                                                               22 |
| Acenocoumarol                                                                                        |                                                  0 |                                                               20 |
| Acer                                                                                                 |                                                  0 |                                                                1 |
| Acer Pseudoplatanus L.                                                                               |                                                  0 |                                                               27 |
| Acetazolamide                                                                                        |                                                  0 |                                                               41 |
| Acetazolamide Bp                                                                                     |                                                  0 |                                                                2 |
| Acetazolamide Ph. Eur.                                                                               |                                                  0 |                                                                1 |
| Acetazolamide Sodium                                                                                 |                                                  0 |                                                                6 |
| Acetic Acid                                                                                          |                                                  0 |                                                               41 |
| Acetic Acid 80% Pure                                                                                 |                                                  0 |                                                                2 |
| Acetohydroxamic Acid                                                                                 |                                                  0 |                                                                1 |
| Acetyl L-Carnitine                                                                                   |                                                  0 |                                                                1 |
| Acetylated Lanolin Alcohols                                                                          |                                                  0 |                                                                1 |
| Acetylcarnitine Hydrochloride                                                                        |                                                  0 |                                                                1 |
| Acetylcholine Chloride                                                                               |                                                  0 |                                                               11 |
| Acetylcysteine                                                                                       |                                                  0 |                                                              495 |
| Acetylleucine                                                                                        |                                                  0 |                                                                7 |
| Acetylsalicylic Acid                                                                                 |                                                  0 |                                                              801 |
| Acetylsalicylic Acid Ph. Eur.                                                                        |                                                  0 |                                                               21 |
| Achillea Millefolium                                                                                 |                                                  0 |                                                                6 |
| Achillea Millefolium D10                                                                             |                                                  0 |                                                                1 |
| Achillea Millefolium Dil D 2                                                                         |                                                  0 |                                                                3 |
| Aciclovir                                                                                            |                                                  0 |                                                              610 |
| Aciclovir Bp                                                                                         |                                                  0 |                                                                1 |
| Aciclovir Ph. Eur.                                                                                   |                                                  0 |                                                                1 |
| Aciclovir Sodium                                                                                     |                                                  0 |                                                                5 |
| Acid Yellow 36                                                                                       |                                                  0 |                                                                1 |
| Acidum Alpha-Ketoglutaricum D200                                                                     |                                                  0 |                                                                2 |
| Acidum Alpha-Ketoglutaricum D8                                                                       |                                                  0 |                                                                8 |
| Acidum Arsenicosum D10                                                                               |                                                  0 |                                                                2 |
| Acidum Arsenicosum D5                                                                                |                                                  0 |                                                                4 |
| Acidum Arsenicosum D6                                                                                |                                                  0 |                                                               18 |
| Acidum Arsenicosum Dil D5                                                                            |                                                  0 |                                                                3 |
| Acidum Arsenicosum Dil. D 12                                                                         |                                                  0 |                                                                1 |
| Acidum Arsenicosum Dil. D 4                                                                          |                                                  0 |                                                                3 |
| Acidum Arsenicosum Dil. D10                                                                          |                                                  0 |                                                                4 |
| Acidum Arsenicosum Dil. D1000                                                                        |                                                  0 |                                                                3 |
| Acidum Arsenicosum Dil. D12                                                                          |                                                  0 |                                                                9 |
| Acidum Arsenicosum Dil. D200                                                                         |                                                  0 |                                                                4 |
| Acidum Arsenicosum Dil. D30                                                                          |                                                  0 |                                                                5 |
| Acidum Arsenicosum Dil. D4 Aquos. (Hab                                                               |                                                  0 |                                                                1 |
| Acidum Arsenicosum Dil. D6                                                                           |                                                  0 |                                                               11 |
| Acidum Ascorbicum D10                                                                                |                                                  0 |                                                                1 |
| Acidum Ascorbicum D6                                                                                 |                                                  0 |                                                               16 |
| Acidum Benzoicum E Resina Dil. D4                                                                    |                                                  0 |                                                                3 |
| Acidum Benzoicum Trit. D 3                                                                           |                                                  0 |                                                                2 |
| Acidum Cis-Aconiticum D30                                                                            |                                                  0 |                                                                2 |
| Acidum Citricum D10                                                                                  |                                                  0 |                                                                1 |
| Acidum Formicicum D 6                                                                                |                                                  0 |                                                                1 |
| Acidum Formicicum D2                                                                                 |                                                  0 |                                                                1 |
| Acidum Formicicum D8                                                                                 |                                                  0 |                                                                1 |
| Acidum Formicicum Dil D12                                                                            |                                                  0 |                                                                2 |
| Acidum Formicicum Dil D6                                                                             |                                                  0 |                                                                6 |
| Acidum Formicicum Dil. D 4                                                                           |                                                  0 |                                                                5 |
| Acidum Fumaricum D200                                                                                |                                                  0 |                                                                2 |
| Acidum Hydrochloricum Dil. D 12                                                                      |                                                  0 |                                                                1 |
| Acidum Hydrofluoricum Dil. D 15                                                                      |                                                  0 |                                                                3 |
| Acidum Hydrofluoricum Dil. D12                                                                       |                                                  0 |                                                                3 |
| Acidum L(+)-Lacticum D2                                                                              |                                                  0 |                                                                2 |
| Acidum L(+)-Lacticum Dil. D 6                                                                        |                                                  0 |                                                                2 |
| Acidum L(+)-Lacticum Dil. D12                                                                        |                                                  0 |                                                                2 |
| Acidum L(+)-Lacticum Dil. D15                                                                        |                                                  0 |                                                                3 |
| Acidum L(+)-Lacticum Dil. D2                                                                         |                                                  0 |                                                                1 |
| Acidum Lacticum D6                                                                                   |                                                  0 |                                                                2 |
| Acidum Malicum D200                                                                                  |                                                  0 |                                                                2 |
| Acidum Nitricum D12                                                                                  |                                                  0 |                                                                1 |
| Acidum Nitricum D4                                                                                   |                                                  0 |                                                                7 |
| Acidum Nitricum D6                                                                                   |                                                  0 |                                                                7 |
| Acidum Nitricum Dil. D4                                                                              |                                                  0 |                                                                7 |
| Acidum Nitricum Trit. D 6                                                                            |                                                  0 |                                                                1 |
| Acidum Phosphoricum D12                                                                              |                                                  0 |                                                                6 |
