+------------------------------------------------------+----------------------+--------------+-----------------------------------------+---------------------------------------------------------------------------------+-----------------------------+
| Τμήμα                                                | Ημερομηνία           | Βάρδια       | Κατηγορία Προσωπικού                    | Υποκλάση (Ειδικότητα/Βαθμίδα/Ρόλος)                                             | Αριθμός Ατόμων              |
+------------------------------------------------------+----------------------+--------------+-----------------------------------------+---------------------------------------------------------------------------------+-----------------------------+
| Ακτινοδιαγνωστικό Τμήμα                              | 2026-05-11           | morning      | Ιατρός                                  | Ακτινολόγος                                                                     |                           3 |
| Ακτινοδιαγνωστικό Τμήμα                              | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Κλινικής                                                  |                           1 |
| Ακτινοδιαγνωστικό Τμήμα                              | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Ακτινοδιαγνωστικό Τμήμα                              | 2026-05-11           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Δερματολογικό Τμήμα                                  | 2026-05-11           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Δερματολογικό Τμήμα                                  | 2026-05-11           | morning      | Ιατρός                                  | Δερματολόγος                                                                    |                           3 |
| Δερματολογικό Τμήμα                                  | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Δερματολογικό Τμήμα                                  | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Καρδιολογική Κλινική                                 | 2026-05-11           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Καρδιολογική Κλινική                                 | 2026-05-11           | morning      | Ιατρός                                  | Καρδιολόγος                                                                     |                           3 |
| Καρδιολογική Κλινική                                 | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Υπεύθυνος Προμηθειών Υγείας                                                     |                           1 |
| Καρδιολογική Κλινική                                 | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Μαιευτική και Γυναικολογική                          | 2026-05-11           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Μαιευτική και Γυναικολογική                          | 2026-05-11           | morning      | Ιατρός                                  | Γυναικολόγος                                                                    |                           3 |
| Μαιευτική και Γυναικολογική                          | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Σύμβουλος Κανονιστικής Συμμόρφωσης (Compliance)                                 |                           1 |
| Μαιευτική και Γυναικολογική                          | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Μονάδα Εντατικής Θεραπείας                           | 2026-05-11           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Μονάδα Εντατικής Θεραπείας                           | 2026-05-11           | morning      | Ιατρός                                  | Εντατικολόγος                                                                   |                           3 |
| Μονάδα Εντατικής Θεραπείας                           | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Προϊστάμενος Μισθοδοσίας                                                        |                           1 |
| Μονάδα Εντατικής Θεραπείας                           | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Νευρολογικό Τμήμα                                    | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Υπάλληλος Προγραμματισμού Χειρουργείων                                          |                           1 |
| Νευρολογικό Τμήμα                                    | 2026-05-11           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Νευρολογικό Τμήμα                                    | 2026-05-11           | morning      | Ιατρός                                  | Νευρολόγος                                                                      |                           3 |
| Νευρολογικό Τμήμα                                    | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Ορθοπεδική Κλινική                                   | 2026-05-11           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Ορθοπεδική Κλινική                                   | 2026-05-11           | morning      | Ιατρός                                  | Ορθοπεδικός                                                                     |                           3 |
| Ορθοπεδική Κλινική                                   | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Ορθοπεδική Κλινική                                   | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Κλινικής                                                  |                           1 |
| Ουρολογικό Τμήμα                                     | 2026-05-11           | morning      | Ιατρός                                  | Ουρολόγος                                                                       |                           3 |
| Ουρολογικό Τμήμα                                     | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Υπάλληλος Διαλογής Εγγραφών                                                     |                           1 |
| Ουρολογικό Τμήμα                                     | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Ουρολογικό Τμήμα                                     | 2026-05-11           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Οφθαλμολογική Κλινική                                | 2026-05-11           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Οφθαλμολογική Κλινική                                | 2026-05-11           | morning      | Ιατρός                                  | Οφθαλμίατρος                                                                    |                           3 |
| Οφθαλμολογική Κλινική                                | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Επικεφαλής Νομικός Σύμβουλος                                                    |                           1 |
| Οφθαλμολογική Κλινική                                | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Υποδοχής                                                  |                           1 |
| Παθολογικό Τμήμα                                     | 2026-05-11           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Παθολογικό Τμήμα                                     | 2026-05-11           | morning      | Ιατρός                                  | Παθολόγος                                                                       |                           3 |
| Παθολογικό Τμήμα                                     | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Υπάλληλος Διαλογής Εγγραφών                                                     |                           1 |
| Παθολογικό Τμήμα                                     | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Παιδιατρική Κλινική                                  | 2026-05-11           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Παιδιατρική Κλινική                                  | 2026-05-11           | morning      | Ιατρός                                  | Παιδίατρος                                                                      |                           3 |
| Παιδιατρική Κλινική                                  | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος ΜΕΘ                                                         |                           1 |
| Παιδιατρική Κλινική                                  | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-11           | afternoon    | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-11           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-11           | afternoon    | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-11           | morning      | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-11           | afternoon    | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Υποδοχής                                                  |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Οικονομικός Διευθυντής                                                          |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-11           | night        | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-11           | afternoon    | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Υπάλληλος Εξυπηρέτησης                                                          |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-11           | night        | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-11           | night        | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος ΜΕΘ                                                         |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-11           | night        | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Προϊστάμενος Μισθοδοσίας                                                        |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-11           | night        | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-11           | night        | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           2 |
| Χειρουργικό Τμήμα                                    | 2026-05-11           | afternoon    | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Χειρουργικό Τμήμα                                    | 2026-05-11           | afternoon    | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-11           | morning      | Νοσηλευτής                              | Προϊστάμενος/η                                                                  |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-11           | afternoon    | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Υποδοχής                                                  |                           2 |
